image_path,label,calories,proteins,fat,carbohydrate
images/https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg,Anak sapi daging kurus segar,174.0,19.6,10.0,0.0
images/https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg,Anak sapi daging sedang segar,190.0,19.1,12.0,0.0
images/https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218,Andaliman segar,99.0,4.6,1.0,18.0
images/https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg,Andewi,25.0,1.6,0.2,5.3
images/https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9,Anggur hutan segar,30.0,0.5,0.2,6.8
images/https://cdn.idntimes.com/content-images/community/2020/06/images-11-7778c46373d99fb101fe76ba287b7cca.jpeg,Angsa,354.0,16.4,31.5,0.0
images/https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg,Anyang sayur,126.0,3.4,7.9,10.3
images/https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg,Apel,58.0,0.3,0.4,14.9
images/https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg,Apel malang segar,57.0,0.5,0.4,12.8
images/https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,Arbei,37.0,0.8,0.5,8.3
images/https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg,Ares sayur,113.0,0.9,7.2,11.2
images/https://1.bp.blogspot.com/-frPXLhHsX1o/YGH-vVXAdtI/AAAAAAAAAQc/rFFQBIqzF-sEPYUiGLOUyb-KetyM7haWACLcBGAsYHQ/s2048/IMG20210227100704.jpg,Arrowroot segar,102.0,1.0,0.2,24.1
images/https://scontent.fcgk35-1.fna.fbcdn.net/v/t1.6435-9/121695429_676597869941401_1458702638921645964_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=__IwAVKho7AAX9vwknv&_nc_ht=scontent.fcgk35-1.fna&oh=00_AfBzshz2zrHYSwZvSOBel1XuorFB4ySKktNdgOj7dB8Jng&oe=649DFFD5,Arwan sirsir,277.0,2.4,25.0,10.7
images/https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg,Asam kandis segar,75.0,0.2,1.1,16.1
images/https://images.tokopedia.net/img/cache/700/VqbcmM/2020/8/26/6b6fe8d2-91ea-40a2-bd1d-53a147b957c1.png,Asam masak di pohon,239.0,2.8,0.6,62.5
images/https://nilaigizi.com/assets/images/produk/produk_1537342320.jpg,Asam payak segar,135.0,0.8,0.4,32.1
images/https://nilaigizi.com/assets/images/produk/produk_1537342200.jpg,Asan kandis kering,261.0,0.9,1.6,63.3
images/https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg,Asinan Bogor sayuran,98.0,3.9,2.6,14.8
images/https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg,Ayam,302.0,18.2,25.0,0.0
images/https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,Ayam  goreng Kentuckysayap,297.0,35.9,15.2,1.6
images/https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,Ayam ampela goreng,270.0,32.3,11.2,9.9
images/https://pelopor.id/wp-content/uploads/2022/03/WhatsApp-Image-2022-02-05-at-11.46.55.jpeg,Ayam dideh/darah segar,75.0,13.8,1.9,0.7
images/https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png,Ayam goreng church texa sayap,295.0,34.0,16.0,1.5
images/https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1,Ayam goreng church texas dada,338.0,35.2,20.6,0.4
images/https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg,Ayam goreng kalasan paha,275.0,37.4,12.2,1.3
images/https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,Ayam goreng kentucky dada,298.0,34.2,16.8,0.1
images/https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,Ayam goreng Kentucky paha,286.0,32.1,16.1,1.1
images/https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg,Ayam goreng mbok berek dada,295.0,39.2,13.6,1.0
images/https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg,Ayam goreng paha,287.0,31.0,15.7,1.7
images/https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/6-C2DTTVLGUBJ3T6-C2DTTXDVTNJXLA/detail/menueditor_item_b01be5494e6b4600867dbcbc0dcd1ed2_1607529952400513906.webp,Ayam goreng pasundan dada,246.0,37.9,9.0,0.7
images/https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021041504584013744/detail/menueditor_item_de1f8bfb500e483d903ccb2e25a29a7d_1618462649639007677.webp,Ayam goreng pasundan paha,245.0,33.1,11.4,0.3
images/https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp,Ayam goreng pioneer dada,295.0,37.4,14.7,0.6
images/https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg,Ayam goreng sukabumi dada,244.0,36.7,9.2,1.0
images/https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/60ef5b81-53d7-4375-a9a3-b7eb2aed3b2a_master-menu-item-image_1597233742745.jpg?resize=728%2C500,Ayam goreng sukabumi paha,283.0,35.7,14.3,0.5
images/https://asset.kompas.com/crops/9dZTmg32w0stodtsJ52gf85QjD4=/0x0:902x601/750x500/data/photo/2021/01/26/600f9d1967e9b.jpg,Ayam hati segar,261.0,27.4,16.1,1.6
images/https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg,Ayam taliwang masakan,264.0,18.2,20.1,2.7
images/https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg,Ayam usus goreng,473.0,45.2,26.3,13.9
images/https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200,Babat,113.0,17.6,4.2,0.0
images/https://akcdn.detik.net.id/visual/2020/05/12/d2fe874b-b04f-41ad-bce5-84027ad803ab_169.jpeg?w=650,Babi daging gemuk segar,453.0,11.9,45.0,0.0
images/https://dialeksis.com/images/web/2022/10/daging-babi.jpeg,Babi daging kurus segar,371.0,14.1,35.0,0.0
images/https://s1.bukalapak.com/img/6117974221/large/GINJAL_BABI___PORK_KIDNEY_.jpg,Babi ginjal segar,110.0,16.3,4.6,0.8
images/https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//91/MTA-7170363/pasarbali-id_pasarbali-id_-_hati_babi_-500_gr-denpasar-_full02_fa2ryh3x.jpg,Babi hati segar,129.0,19.7,4.8,1.7
images/https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg,Babi hutan masak rica masakan,491.0,24.6,16.3,0.2
images/https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg,Bacang,102.9,3.3,2.7,16.3
images/https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg,Bagea kelapa asin,450.0,3.2,13.9,78.1
images/https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg,Bagea kelapa manis,452.0,1.3,13.8,80.6
images/https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg,Bagea kenari asin,529.0,3.2,29.1,63.6
images/https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg,Bagea kenari manis,523.0,3.2,28.2,64.2
images/https://i0.wp.com/www.cakefever.com/wp-content/uploads/rsz_unknown_187780537_492967188795850_1371196946421020494_n.jpg?fit=900%2C600&ssl=1,Bagea kw 1,416.0,6.5,9.4,76.3
images/https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/15/c5337e96-32c2-4453-98d0-cc17b08837f1.jpg,Bagea kw 2,382.0,0.3,3.5,87.2
images/https://cf.shopee.co.id/file/91afb76cc87856ee341c0ee5970d66a9,Baje,129.0,1.9,6.6,15.6
images/https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg,Bakpia kue,272.0,8.7,6.7,44.1
images/https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg,Bakso ,76.0,4.1,2.5,9.2
images/https://assets.kompasiana.com/statics/files/14145651141145946500.jpg?t=o&v=700?t=o&v=110,Bakung segar,27.0,2.0,0.2,4.2
images/https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1,Bakwan,280.0,8.2,10.2,39.0
images/https://rimbakita.com/wp-content/uploads/2020/08/kundur.jpg,Baligo,13.0,0.4,0.2,3.0
images/https://cdn.idntimes.com/content-images/community/2020/11/kue-bantal-sumber-ig-at-terunededarementaram-e3a62b69fc2f582e3148201ce8d68802_600x400.jpg,Bantal,190.0,3.3,0.3,43.5
images/https://upload.wikimedia.org/wikipedia/commons/5/5e/Barongko_hendak_dimakan.jpg,Barongko,159.0,3.1,5.8,23.5
images/https://i0.wp.com/bukanarjuna.com/wp-content/uploads/2019/11/batang-teratai.jpg?resize=680%2C453&ssl=1,Batang Tading,137.0,4.3,4.8,19.1
images/https://foreignfork.com/wp-content/uploads/2020/11/Batar-daan-7-scaled.jpg,Batar daan,107.0,2.2,2.2,19.6
images/https://cf.shopee.co.id/file/b49af4eb7afe41c41e9246a0005b843f,Batatas gembili segar,76.0,1.1,0.9,16.0
images/https://img-global.cpcdn.com/recipes/95d754afdf8eb1f2/1200x630cq70/photo.jpg,Batatas kelapa ubi bakar,110.0,1.4,1.1,23.4
images/https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg,Batatas kelapa ubi kukus,92.0,1.2,0.3,21.0
images/https://th.bing.com/th?id=ABTE8B1595CD1C0C5A990C01CE78BE64402674F61A3C217A9FF9CCB31D6F7E9E29A&w=1144&h=568&c=1,Batatas kelapa ubi segar,89.0,1.1,0.1,21.0
images/https://img-global.cpcdn.com/recipes/f9664da25cda52e4/1200x630cq70/photo.jpg,Batatas tali ubi rebus,182.0,2.4,0.4,42.2
images/https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg,Bawang Bombay,45.0,1.4,0.2,10.3
images/https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408,Bawang Merah,39.0,1.5,0.3,0.2
images/https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg,Bawang Putih,95.0,4.5,0.2,23.1
images/https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg,Bayam kukus,30.0,1.3,0.7,5.8
images/https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg,Bayam Merah,51.0,4.6,0.5,10.0
images/https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/28/6efbc93d-e05c-4446-8c6c-c6d401dc7407.jpg,Bayam merah segar,41.0,2.2,0.8,6.3
images/https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg,Bayam rebus,23.0,1.2,0.6,3.7
images/https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg,Bayam segar,36.0,3.5,0.5,6.5
"images/https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg",Bayam tumis + oncom,102.0,3.7,6.7,6.9
images/https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe,Bayam tumis bersantan,48.0,1.4,4.2,2.6
images/https://asset.kompas.com/crops/6unVsacqX8mpZ19lviQLxyDPCoI=/0x0:1000x667/750x500/data/photo/2020/11/03/5fa0cee5cb3cf.jpg,Bebek (itik),326.0,16.0,28.6,0.0
images/https://medioenblog.files.wordpress.com/2018/02/bebek.jpg,Bebek alabio daging segar,303.0,11.3,27.0,3.7
images/https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg,Bebek daging goreng,300.0,24.0,20.7,4.5
images/https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg,Beberuk,65.0,1.1,5.2,3.5
images/https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg,Beef burger,258.0,10.6,9.5,32.5
images/https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg,Beef teriyaki masakan,151.0,8.6,3.1,22.3
images/https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg,Beef yakiniku masakan,132.0,9.8,1.1,20.7
images/https://assets-a1.kompasiana.com/items/album/2021/11/13/bekasam-kuliner-fermentasi-khas-wong-sumsel-shd-1-removebg-preview-618f54d2c26b771c5c083212.png,Bekasam,116.0,11.9,4.9,6.1
images/https://www.surabayapagi.com/po-content/photo/big/a782bead716a8dbee3762c8c79ec4e54.jpg,Bekasang,78.0,11.4,2.0,3.6
images/https://assets.tokko.io/2bbdc42e-f0c6-494e-ae09-9d177af2ec61/products/images/cc352d35-2818-45ed-9a63-03f4fbd2247b,Belibis daging segar,131.0,20.2,4.3,2.8
images/https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg,Belimbing,36.0,0.4,0.4,8.8
images/https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg,Belitung talas kukus,145.0,1.2,0.4,34.2
images/https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg,Belut goreng,417.0,25.9,19.4,32.0
images/https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg,Belut segar,70.0,14.6,0.8,1.0
images/https://mfcepusluh.bpsdmkp.kkp.go.id/asset/foto_berita/SIDAT_OK_-1.jpg,Belutlaut segar,93.0,12.8,1.5,6.1
images/https://jovee.id/wp-content/uploads/2020/11/shutterstock_1830526784.jpg,Bengkuang,55.0,1.4,0.2,12.8
images/https://sampangkabmuseumjatim.files.wordpress.com/2014/08/talas.jpg,Bentul (Komba)  talas segar,98.0,1.6,0.7,20.9
images/https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg,Bentul talas kukus,71.0,2.3,0.3,15.4
images/https://1.bp.blogspot.com/-bI9SR2CfOMQ/VIuCEHs40eI/AAAAAAAAAK8/iE3VYEXXno8/s1600/1460018_556060297809682_917149226_n.jpg,Beras Cerdas,350.0,2.7,1.1,82.3
images/https://www.agrofarm.co.id/wp-content/uploads/2022/04/Ganyong-e1651331774497.jpg,Beras ganyong,364.0,3.4,0.7,86.3
images/https://images.pexels.com/photos/4187621/pexels-photo-4187621.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Beras Giling,360.0,6.8,0.7,78.9
images/https://e0.pxfuel.com/wallpapers/769/103/desktop-wallpaper-white-rice-rice-bowl.jpg,Beras Giling masak (nasi) ,178.0,2.1,0.1,40.6
images/https://id-test-11.slatic.net/p/f39461bcbf996f071c0e206b97d62889.jpg,Beras giling mentah,357.0,8.4,1.7,77.1
images/https://rottebakery.com/wp-content/uploads/2022/06/white-rice-flour-small-bowl-with-rice-plant.jpg,Beras giling var pelita mentah,369.0,9.5,1.4,77.1
images/https://s0.bukalapak.com/img/06431812631/large/BERAS_ROJOLELE_25KG.png,Beras giling var rojolele mentah,357.0,8.4,1.7,77.1
images/https://statik.tempo.co/data/2022/01/25/id_1083329/1083329_720.jpg,Beras hitam mentah,351.0,8.0,1.3,76.9
images/https://thumbs.vdvc.id/olret/images/original/2022/07/21/62d900a97984b-manfaat-tepung-jagung_olret.jpg,Beras jagung kuning kering mentah,358.0,5.5,0.1,82.7
images/https://awsimages.detik.net.id/community/media/visual/2016/05/06/8a8ccd2e-6879-4e3a-9082-e632e117354c.jpg?w=852,Beras jagung putih kering mentah,307.0,4.8,0.1,71.8
images/https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg,Beras Ketan Hitam,356.0,7.0,0.7,78.0
images/https://img.freepik.com/free-photo/purple-rice-berries-cooked-wooden-dish-with-mint-leaves_1150-19858.jpg?w=1060&t=st=1683884169~exp=1683884769~hmac=cbae358960d57fe16933cd26ccb63b1353dd59576d26b5334b0f7a9f732a4539,Beras Ketan Hitam kukus,181.0,4.0,1.2,37.3
images/https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/19/6313260c-769d-4875-a3b2-ab4681eff412.jpg,Beras Ketan Hitam tape,166.0,3.8,1.0,34.4
images/https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg,Beras Ketan Hitam tumbuk,360.0,8.0,2.3,74.5
images/https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg,Beras ketan hitam tumbuk mentah,360.0,8.0,2.3,74.5
images/https://img.freepik.com/free-photo/milled-rice-bowl-wooden-spoon-black-cement-floor_1150-20058.jpg?w=1060&t=st=1683884494~exp=1683885094~hmac=087d2b8d5b7ba0d5d39291bc84cfdab7dd5e308ae534fd542be811d73f1b8eed,Beras Ketan Putih,362.0,6.7,0.7,79.4
images/https://img.freepik.com/free-photo/white-rice-is-placed-cup-wooden-floor_1150-26270.jpg?w=1060&t=st=1683884551~exp=1683885151~hmac=a53080997cbf768ead7314bfb2a4eb430be3da2f4caefbe22061ff25aa62d18d,Beras Ketan Putih kukus,163.0,3.0,0.4,35.7
images/https://awsimages.detik.net.id/community/media/visual/2020/06/23/tape-ketan-putih-2.jpeg?w=1280,Beras Ketan Putih tape,172.0,3.0,0.5,37.5
images/https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg,Beras Ketan Putih tumbuk,361.0,7.4,0.8,78.4
images/https://s1.bukalapak.com/img/13260261701/large/data.jpeg,Beras ketan putih tumbuk mentah,361.0,7.4,0.8,78.4
images/https://cf.shopee.co.id/file/7ba3bd8d1b35213b450210a2d8a7bebe,Beras ladang mentah,376.0,7.5,3.8,78.0
images/https://s1.bukalapak.com/img/11085064122/large/Beras_Menir_Kiloan.jpg,Beras Menir,339.0,7.7,4.4,73.0
images/https://cf.shopee.co.id/file/545e238984fb60430e0c5974baa50a67,Beras menir mentah,362.0,7.7,4.4,73.0
images/https://i0.wp.com/gitacinta.com/wp-content/uploads/2022/06/tepung-beras-merah.jpg?resize=650%2C276&ssl=1,Beras Merah tumbuk,359.0,7.5,0.9,77.6
images/https://nilaigizi.com/assets/images/produk/produk_1565756452.jpeg,Beras Parboiled,364.0,6.8,0.6,80.1
images/https://media.istockphoto.com/id/682901376/id/foto/kantong-penuh-beras-parboiled.jpg?s=170667a&w=0&k=20&c=XIjpCICb6eaZjgGTPXA-gGGo2EQHtQmwnNHny3ce_m8=,Beras parboiled,353.0,6.8,0.6,80.0
images/https://media.savitri.co.id/content/uploads/2020/11/05111454/Beras-Pecah-Kulit-2-scaled.jpg,Beras Pecah Kulit,335.0,7.4,1.9,76.2
images/https://media.istockphoto.com/id/1028702012/id/foto/beras-beras-setengah-giling-atau-beras-sekam.jpg?s=170667a&w=0&k=20&c=Jb-uK5CIE8eS7em_tTN1mI7vwFDbh_D3-ud50g1ODjc=,Beras Setengah Giling,363.0,7.6,1.1,78.3
images/https://www.goodnewsfromindonesia.id/uploads/post/large-beras-singkong-6b6d1b3932ec72a9012d9307b84fd243.jpg,Beras Siger,344.0,1.1,0.2,28.3
images/https://nilaigizi.com/assets/images/produk/produk_1565756824.jpeg,Beras tumbuk mentah,354.0,7.8,0.4,79.9
images/https://www.faunadanflora.com/wp-content/uploads/2016/10/Kandungan-gizi-serta-manfaat-beras-merah-bagi-kesehatan.jpg,Beras tumbuk merah mentah,352.0,7.3,0.9,76.2
images/https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/29/26184a0a-29ed-48dc-9c82-ca5e70c66b39.jpg,Betok wadi masakan,145.0,16.3,7.0,4.1
images/https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto,Bihun,360.0,4.7,0.1,82.1
images/https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe,Bihun Goreng ,154.0,3.0,4.5,25.5
images/https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg,Bihun goreng instan,381.0,6.1,3.9,80.3
images/https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg,Bihun Jagung mentah,354.0,0.5,0.3,87.4
images/https://asset.kompas.com/crops/dTUuoSNNMAy7MfUGn3xsMru6iQY=/0x0:1000x667/780x390/data/photo/2020/10/25/5f9537b7649a3.jpg,Bihun mentah,348.0,4.7,0.1,82.1
images/https://static.republika.co.id/uploads/images/inpicture_slide/biji-jambu-mete-seorang-warga-menunjukkan-biji-jambu-mete-_121124152601-814.jpg,Biji Jambu Mete,562.0,21.2,49.6,23.6
images/https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg,Biji Jambu Mete goreng,629.0,21.5,56.6,19.8
images/https://img-global.cpcdn.com/recipes/0df60642ab5496ab/680x482cq70/122-biji-salak-ber-nangka-foto-resep-utama.jpg,Biji nangka/Biji salak,262.0,2.3,5.4,51.1
images/https://upload.wikimedia.org/wikipedia/commons/4/43/Kue_bika_ambon.JPG,Bika ambon,199.0,2.1,1.5,44.4
images/https://kurio-img.kurioapps.com/21/08/09/550ddc82-8004-49fe-a427-197fead4eec3.jpe,Bika Ambon ,225.7,3.0,0.3,52.9
images/https://img-cdn.medkomtek.com/9nrwopmWH6OZWfzLJFo3sIIrBns=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/gHEIB2nYYci1BklN8-Ocn/original/014067600_1615200086-kadar-alkohol-di-dalam-berbagai-jenis-minuman-keras.jpg,Bir (4% alkohol),48.0,0.6,0.0,4.4
images/https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg,Biskuit,458.0,6.9,14.4,75.1
images/https://static.honestdocs.id/system/blog_articles/main_hero_images/000/002/304/original/14_Manfaat_Buah_Bit_Bagi_Kesehatan_Tubuh.jpg,Bit,42.0,1.6,0.1,9.6
images/https://cdn.idntimes.com/content-images/community/2019/07/big-1358231-960-720-8ba3de334ccaf29bc9502faa35dd8283_600x400.jpg,Biwah segar,51.0,0.3,0.1,12.1
